Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.5,ldp,3,0.12008901166359731
lactose,chi2,flipping,0.5,ldp,3,0.10896255371393493
lactose,chi2,flipping,0.5,ldp,3,0.1062768569674648
lactose,chi2,flipping,0.5,ldp,4,0.12229511970534068
lactose,chi2,flipping,0.5,ldp,3,0.1406921424186618
lactose,chi2,flipping,0.5,ldp,4,0.10761970534069976
lactose,chi2,flipping,0.5,ldp,4,0.15970303867403313
lactose,chi2,flipping,0.5,ldp,4,0.11187845303867405
lactose,chi2,flipping,0.5,ldp,4,0.12348449969306319
lactose,chi2,flipping,0.5,ldp,4,0.10407074892572132
lactose,chi2,flipping,0.5,ldp,5,0.10351442602823824
lactose,chi2,flipping,0.5,ldp,5,0.1304289441375076
lactose,chi2,flipping,0.5,ldp,4,0.12237185389809702
lactose,chi2,flipping,0.5,ldp,4,0.14779005524861877
lactose,chi2,flipping,0.5,ldp,4,0.1186694290976058
lactose,chi2,flipping,0.5,ldp,5,0.12229511970534068
lactose,chi2,flipping,0.5,ldp,5,0.11448741559238795
lactose,chi2,flipping,0.5,ldp,4,0.11393109269490487
lactose,chi2,flipping,0.5,ldp,5,0.1160604665438919
lactose,chi2,flipping,0.5,ldp,5,0.1160604665438919
lactose,chi2,flipping,0.5,ldp,5,0.1355509515039902
lactose,chi2,flipping,0.5,ldp,5,0.13192526089625534
lactose,chi2,flipping,0.6,ldp,3,0.1450820873644093
lactose,chi2,flipping,0.6,ldp,3,0.12050168572266196
lactose,chi2,flipping,0.6,ldp,3,0.1450820873644093
lactose,chi2,flipping,0.6,ldp,3,0.16285546760480796
lactose,chi2,flipping,0.6,ldp,4,0.17730321020228668
lactose,chi2,flipping,0.6,ldp,3,0.1529976546467312
lactose,chi2,flipping,0.6,ldp,3,0.14007988859571974
lactose,chi2,flipping,0.6,ldp,4,0.20341358839050128
lactose,chi2,flipping,0.6,ldp,4,0.19591029023746698
lactose,chi2,flipping,0.6,ldp,4,0.1829925241864555
lactose,chi2,flipping,0.6,ldp,5,0.168828789211375
lactose,chi2,flipping,0.6,ldp,4,0.18063800938141306
lactose,chi2,flipping,0.6,ldp,4,0.1471617560832601
lactose,chi2,flipping,0.6,ldp,5,0.15216395485194956
lactose,chi2,flipping,0.6,ldp,4,0.14869173262972735
lactose,chi2,flipping,0.6,ldp,5,0.12855467604807969
lactose,chi2,flipping,0.6,ldp,4,0.16896621225447084
lactose,chi2,flipping,0.6,ldp,4,0.16952506596306072
lactose,chi2,flipping,0.6,ldp,5,0.18438507768982704
lactose,chi2,flipping,0.6,ldp,5,0.17202616534740545
lactose,chi2,flipping,0.6,ldp,5,0.17646951040750514
lactose,chi2,flipping,0.6,ldp,4,0.16341432131339784
lactose,chi2,flipping,0.6,ldp,5,0.19105467604807969
lactose,chi2,flipping,0.6,ldp,5,0.18091285546760483
lactose,chi2,flipping,0.7,ldp,3,0.1521512113617377
lactose,chi2,flipping,0.7,ldp,3,0.15369152046783618
lactose,chi2,flipping,0.7,ldp,3,0.18723893065998332
lactose,chi2,flipping,0.7,ldp,3,0.17084377610693402
lactose,chi2,flipping,0.7,ldp,4,0.19400062656641603
lactose,chi2,flipping,0.7,ldp,3,0.1471386800334169
lactose,chi2,flipping,0.7,ldp,3,0.16139306599832914
lactose,chi2,flipping,0.7,ldp,4,0.23237781954887216
lactose,chi2,flipping,0.7,ldp,4,0.1785714285714286
lactose,chi2,flipping,0.7,ldp,4,0.17277568922305764
lactose,chi2,flipping,0.7,ldp,5,0.21480785296574778
lactose,chi2,flipping,0.7,ldp,4,0.20788951545530499
lactose,chi2,flipping,0.7,ldp,4,0.1554145781119466
lactose,chi2,flipping,0.7,ldp,5,0.19629803675856305
